Opcode,Format type,Format Value,Other field,Value,Operation,Sparc V8 Manual main description page,Sparc V8 Manual main description Chapter reference,Insn Category,Insn Category Index,Format Index,Processing Status,Privilege,Notes,"Register Type, if any",ASM Rator Syntax,ASM Rand Syntax Notes,Num Args,ASM Arg 1,ASM Arg 2,ASM Arg 3,ASM Arg 4,END
LDSB,op3,001001,i,000000,Load Signed Byte,90,B1,Load,1,F01-1,raw,0,,rrr,ldsb,[address],3,rs1,rs2,rd,,end
LDSH,op3,001010,i,000000,Load Signed Halfword,90,B1,Load,1,F01-1,raw,0,,rrr,ldsh,[address],3,rs1,rs2,rd,,end
LDUB,op3,000001,i,000000,Load Unsigned Byte,90,B1,Load,1,F01-1,raw,0,,rrr,ldub,[address],3,rs1,rs2,rd,,end
LDUH,op3,000010,i,000000,Load Unsigned Halfword,90,B1,Load,1,F01-1,raw,0,,rrr,lduh,[address],3,rs1,rs2,rd,,end
LD,op3,000000,i,000000,Load Word,90,B1,Load,1,F01-1,raw,0,,rrr,ld,[address],3,rs1,rs2,rd,,end
LDD,op3,000011,i,000000,Load Doubleword,90,B1,Load,1,F01-1,raw,0,,rrr,ldd,[address],3,rs1,rs2,rd,,end
LDSBA,op3,011001,i,000000,Load Signed Byte from Alternate space,90,B1,Load,1,F01-a,raw,1,asi,rrrn,ldsba,[regaddr] asi,4,rs1,rs2,rd,asi,end
LDSHA,op3,011010,i,000000,Load Signed Halfword from Alternate space,90,B1,Load,1,F01-a,raw,1,asi,rrrn,ldsha,[regaddr] asi,4,rs1,rs2,rd,asi,end
LDUBA,op3,010001,i,000000,Load Unsigned Byte from Alternate space,90,B1,Load,1,F01-a,raw,1,asi,rrrn,lduba,[regaddr] asi,4,rs1,rs2,rd,asi,end
LDUHA,op3,010010,i,000000,Load Unsigned Halfword from Alternate space,90,B1,Load,1,F01-a,raw,1,asi,rrrn,lduha,[regaddr] asi,4,rs1,rs2,rd,asi,end
LDA,op3,010000,i,000000,Load Word from Alternate space,90,B1,Load,1,F01-a,raw,1,asi,rrrn,lda,[regaddr] asi,4,rs1,rs2,rd,asi,end
LDDA,op3,010011,i,000000,Load Doubleword from Alternate space,90,B1,Load,1,F01-a,raw,1,asi,rrrn,ldda,[regaddr] asi,4,rs1,rs2,rd,asi,end
LDF,op3,100000,i,000000,Load Floating-point Register from memory,92,B2,Load,1,F01-1,raw,0,,rrf,ld,[address],3,rs1,rs2,rd=fprd,,end
LDDF,op3,100011,i,000000,Load Double Floating-point Register from memory,92,B2,Load,1,F01-1,raw,0,,rrf,ldd,[address],3,rs1,rs2,rd=fprd,,end
LDFSR,op3,100001,i,000000,Load Floating-point State Register from memory,92,B2,Load,1,F01-1,raw,0,,rrf,ld,[address],3,rs1,rs2,rd=%fsr,,end
LDC,op3,110000,i,000000,Load Coprocessor Register,94,B3,Load,1,F01-1,raw,0,,rrc,ld,[address],3,rs1,rs2,rd=cprd,,end
