Format Index|Num_Bit_Fields|Insn_Format|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type
B1.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|asi|5|12|||parameter|rs2|0|4|||generate||||||||||||
B1.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B2.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B2.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B3.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B3.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B4.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|asi|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B4.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B5.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|asi|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B5.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
