"Sr no","No.",,"Original-Reg-Name","Windowed-Name","Preferred-Name","Type"
1,0,"%r0","%r0","%g0",,"Global"
2,1,"%r1","%r1","%g1",,"Global"
3,2,"%r2","%r2","%g2",,"Global"
4,3,"%r3","%r3","%g3",,"Global"
5,4,"%r4","%r4","%g4",,"Global"
6,5,"%r5","%r5","%g5",,"Global"
7,6,"%r6","%r6","%g6",,"Global"
8,7,"%r7","%r7","%g7",,"Global"
9,8,"%r8","%r8","%o0",,"Out"
10,9,"%r9","%r9","%o1",,"Out"
11,10,"%r10","%r10","%o2",,"Out"
12,11,"%r11","%r11","%o3",,"Out"
13,12,"%r12","%r12","%o4",,"Out"
14,13,"%r13","%r13","%o5",,"Out"
15,14,"%r14","%r14","%o6","%sp","Out"
16,15,"%r15","%r15","%o7",,"Out"
17,16,"%r16","%r16","%l0",,"Local"
18,17,"%r17","%r17","%l1",,"Local"
19,18,"%r18","%r18","%l2",,"Local"
20,19,"%r19","%r19","%l3",,"Local"
21,20,"%r20","%r20","%l4",,"Local"
22,21,"%r21","%r21","%l5",,"Local"
23,22,"%r22","%r22","%l6","%fp","Local"
24,23,"%r23","%r23","%l7",,"Local"
25,24,"%r24","%r24","%i0",,"In"
26,25,"%r25","%r25","%i1",,"In"
27,26,"%r26","%r26","%i2",,"In"
28,27,"%r27","%r27","%i3",,"In"
29,28,"%r28","%r28","%i4",,"In"
30,29,"%r29","%r29","%i5",,"In"
31,30,"%r30","%r30","%i6",,"In"
32,31,"%r31","%r31","%i7",,"In"
33,0,"%f0",,,,"Floating Point"
34,1,"%f1",,,,
35,2,"%f2",,,,
36,3,"%f3",,,,
37,4,"%f4",,,,
38,5,"%f5",,,,
39,6,"%f6",,,,
40,7,"%f7",,,,
41,8,"%f8",,,,
42,9,"%f9",,,,
43,10,"%f10",,,,
44,11,"%f11",,,,
45,12,"%f12",,,,
46,13,"%f13",,,,
47,14,"%f14",,,,
48,15,"%f15",,,,
49,16,"%f16",,,,
50,17,"%f17",,,,
51,18,"%f18",,,,
52,19,"%f19",,,,
53,20,"%f20",,,,
54,21,"%f21",,,,
55,22,"%f22",,,,
56,23,"%f23",,,,
57,24,"%f24",,,,
58,25,"%f25",,,,
59,26,"%f26",,,,
60,27,"%f27",,,,
61,28,"%f28",,,,
62,29,"%f29",,,,
63,30,"%f30",,,,
64,31,"%f31",,,,
65,0,"%c0",,,,"Coprocessor Register"
66,1,"%c1",,,,
67,2,"%c2",,,,
68,3,"%c3",,,,
69,4,"%c4",,,,
70,5,"%c5",,,,
71,6,"%c6",,,,
72,7,"%c7",,,,
73,8,"%c8",,,,
74,9,"%c9",,,,
75,10,"%c10",,,,
76,11,"%c11",,,,
77,12,"%c12",,,,
78,13,"%c13",,,,
79,14,"%c14",,,,
80,15,"%c15",,,,
81,16,"%c16",,,,
82,17,"%c17",,,,
83,18,"%c18",,,,
84,19,"%c19",,,,
85,20,"%c20",,,,
86,21,"%c21",,,,
87,22,"%c22",,,,
88,23,"%c23",,,,
89,24,"%c24",,,,
90,25,"%c25",,,,
91,26,"%c26",,,,
92,27,"%c27",,,,
93,28,"%c28",,,,
94,29,"%c29",,,,
95,30,"%c30",,,,
96,31,"%c31",,,,
97,0,"%asr0",,,,"Ancillary State Register"
98,1,"%asr1",,,,
99,2,"%asr2",,,,
100,3,"%asr3",,,,
101,4,"%asr4",,,,
102,5,"%asr5",,,,
103,6,"%asr6",,,,
104,7,"%asr7",,,,
105,8,"%asr8",,,,
106,9,"%asr9",,,,
107,10,"%asr10",,,,
108,11,"%asr11",,,,
109,12,"%asr12",,,,
110,13,"%asr13",,,,
111,14,"%asr14",,,,
112,15,"%asr15",,,,
113,16,"%asr16",,,,
114,17,"%asr17",,,,
115,18,"%asr18",,,,
116,19,"%asr19",,,,
117,20,"%asr20",,,,
118,21,"%asr21",,,,
119,22,"%asr22",,,,
120,23,"%asr23",,,,
121,24,"%asr24",,,,
122,25,"%asr25",,,,
123,26,"%asr26",,,,
124,27,"%asr27",,,,
125,28,"%asr28",,,,
126,29,"%asr29",,,,
127,30,"%asr30",,,,
128,31,"%asr31",,,,
129,,,,,,"Special symbol"
130,,"%psr",,,,"Processor State Register"
131,,"%wim",,,,"Window Invalid Mask register"
132,,"%tbr",,,,"Trap Base Register"
133,,"%y",,,,"Y register"
134,,"%fsr",,,,"Floating-Point State Register"
135,,"%csr",,,,"Coprocessor State Register"
136,,"%fq",,,,"Floating-Point Queue"
137,,"%cq",,,,"Coprocessor Queue"
138,,"%hi",,,,"Unary operator which extracts high 22 bits of its operand"
139,,"%lo",,,,"Unary operator which extracts low 10 bits of its operand"
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
