Opcode,Format type,Format Value,Other field,Value,Operation,Sparc V8 Manual main description page,Sparc V8 Manual main description Chapter reference,Insn Category,Insn Category Index,Format Index,Processing Status,Privilege,Notes,"Register Type, if any",ASM Rator Syntax,Num Args,ASM Arg 1,ASM Arg 2,ASM Arg 3,ASM Arg 4,END
LDSB,op3,001001,i,000000,Load Signed Byte,90,B1,Load/Store,1,op40,raw,0,,rrr,ldsb,3,rs1,rs2,rd,,end
LDSH,op3,001010,i,000000,Load Signed Halfword,90,B1,Load/Store,1,op40,raw,0,,rrr,ldsh,3,rs1,rs2,rd,,end
LDUB,op3,000001,i,000000,Load Unsigned Byte,90,B1,Load/Store,1,op40,raw,0,,rrr,ldub,3,rs1,rs2,rd,,end
LDUH,op3,000010,i,000000,Load Unsigned Halfword,90,B1,Load/Store,1,op40,raw,0,,rrr,lduh,3,rs1,rs2,rd,,end
LD,op3,000000,i,000000,Load Word,90,B1,Load/Store,1,op40,raw,0,,rrr,ld,3,rs1,rs2,rd,,end
LDD,op3,000011,i,000000,Load Doubleword,90,B1,Load/Store,1,op40,raw,0,,rrr,ldd,3,rs1,rs2,rd,,end
LDSBA,op3,011001,i,000000,Load Signed Byte from Alternate space,90,B1,Load/Store,1,op34,raw,1,asi,rrrn,ldsba,4,rs1,rs2,rd,asi,end
LDSHA,op3,011010,i,000000,Load Signed Halfword from Alternate space,90,B1,Load/Store,1,op34,raw,1,asi,rrrn,ldsha,4,rs1,rs2,rd,asi,end
LDUBA,op3,010001,i,000000,Load Unsigned Byte from Alternate space,90,B1,Load/Store,1,op34,raw,1,asi,rrrn,lduba,4,rs1,rs2,rd,asi,end
LDUHA,op3,010010,i,000000,Load Unsigned Halfword from Alternate space,90,B1,Load/Store,1,op34,raw,1,asi,rrrn,lduha,4,rs1,rs2,rd,asi,end
LDA,op3,010000,i,000000,Load Word from Alternate space,90,B1,Load/Store,1,op34,raw,1,asi,rrrn,lda,4,rs1,rs2,rd,asi,end
LDDA,op3,010011,i,000000,Load Doubleword from Alternate space,90,B1,Load/Store,1,op34,raw,1,asi,rrrn,ldda,4,rs1,rs2,rd,asi,end
LDF,op3,100000,i,000000,Load Floating-point Register from memory,92,B2,Load/Store,1,op40,raw,0,,rrf,ldf,3,rs1,rs2,rd=fprd,,end
LDDF,op3,100011,i,000000,Load Double Floating-point Register from memory,92,B2,Load/Store,1,op40,raw,0,,rrf,lddf,3,rs1,rs2,rd=fprd,,end
LDFSR,op3,100001,i,000000,Load Floating-point State Register from memory,92,B2,Load/Store,1,op40,raw,0,,rrf,ldfsr,3,rs1,rs2,rd=%fsr,,end
LDC,op3,110000,i,000000,Load Coprocessor Register,94,B3,Load/Store,1,op40,raw,0,,rrc,ldc,3,rs1,rs2,rd=cprd,,end
LDDC,op3,110011,i,000000,Load Double Coprocessor Register,94,B3,Load/Store,1,op40,raw,0,,rrc,lddc,3,rs1,rs2,rd=cprd,,end
LDCSR ,op3,110001,i,000000,Load Coprocessor State Register,94,B3,Load/Store,1,op40,raw,0,,rrc,ldcsr,3,rs1,rs2,rd=%csr,,end
STB,op3,000101,i,000000,Store Byte,95,B4,Load/Store,1,op40,raw,0,,rrr,stb,3,rd,rs1,rs2,,end
STH,op3,000110,i,000000,Store Halfword,95,B4,Load/Store,1,op40,raw,0,,rrr,sth,3,rd,rs1,rs2,,end
ST,op3,000100,i,000000,Store Word,95,B4,Load/Store,1,op40,raw,0,,rrr,st,3,rd,rs1,rs2,,end
STD,op3,000111,i,000000,Store Doubleword,95,B4,Load/Store,1,op40,raw,0,,rrr,std,3,rd,rs1,rs2,,end
STBA,op3,010101,i,000001,Store Byte into Alternate space,95,B4,Load/Store,1,op34,raw,1,,rrn,stba,3,rd,rs1,sign_ext (simm13),,end
STHA,op3,010110,i,000001,Store Halfword into Alternate space,95,B4,Load/Store,1,op34,raw,1,,rrn,stha,3,rd,rs1,sign_ext (simm13),,end
STA,op3,010100,i,000001,Store Word into Alternate space,95,B4,Load/Store,1,op34,raw,1,,rrn,sta,3,rd,rs1,sign_ext (simm13),,end
STDA ,op3,010111,i,000001,Store Doubleword into Alternate space,95,B4,Load/Store,1,op34,raw,1,,rrn,stda ,3,rd,rs1,sign_ext (simm13),,end
STF,op3,100100,i,000000,Store Floating-point to memory,97,B5,Load/Store,1,op40,raw,0,,frr,stf,3,rd=fprd,rs1,rs2,,end
STDF,op3,100111,i,000000,Store Double Floating-point to memory,97,B5,Load/Store,1,op40,raw,0,,frr,stdf,3,rd=fprd,rs1,rs2,,end
STFSR,op3,100101,i,000000,Store Floating-point State Register to memory,97,B5,Load/Store,1,op40,raw,0,,frr,stfsr,3,rd=%fsr,rs1,rs2,,end
