Opcode,Format type,Format Value,Other field,Value,Operation,Sparc V8 Manual main description page,Sparc V8 Manual main description Chapter reference,Insn Category,Insn Category Index,Format Index,Processing Status,Privilege,Notes,"Register Type, if any",ASM Rator Syntax,Num Args,ASM Arg 1,ASM Arg 2,ASM Arg 3,ASM Arg 4,END
LDSB,op3,001001,i,000000,Load Signed Byte,90,B1,Load/Store,1,op40,raw,0,,rrr,ldsb,3,rs1,rs2,rd,,end
LDSH,op3,001010,i,000000,Load Signed Halfword,90,B1,Load/Store,1,op40,raw,0,,rrr,ldsh,3,rs1,rs2,rd,,end
LDUB,op3,000001,i,000000,Load Unsigned Byte,90,B1,Load/Store,1,op40,raw,0,,rrr,ldub,3,rs1,rs2,rd,,end
LDUH,op3,000010,i,000000,Load Unsigned Halfword,90,B1,Load/Store,1,op40,raw,0,,rrr,lduh,3,rs1,rs2,rd,,end
LD,op3,000000,i,000000,Load Word,90,B1,Load/Store,1,op40,raw,0,,rrr,ld,3,rs1,rs2,rd,,end
LDD,op3,000011,i,000000,Load Doubleword,90,B1,Load/Store,1,op40,raw,0,,rrr,ldd,3,rs1,rs2,rd,,end
STB,op3,000101,i,000000,Store Byte,95,B4,Load/Store,1,op40,raw,0,,rrr,stb,3,rd,rs1,rs2,,end
STH,op3,000110,i,000000,Store Halfword,95,B4,Load/Store,1,op40,raw,0,,rrr,sth,3,rd,rs1,rs2,,end
ST,op3,000100,i,000000,Store Word,95,B4,Load/Store,1,op40,raw,0,,rrr,st,3,rd,rs1,rs2,,end
STD,op3,000111,i,000000,Store Doubleword,95,B4,Load/Store,1,op40,raw,0,,rrr,std,3,rd,rs1,rs2,,end
LDSTUB,op3,001101,i,000000,Atomic Load-Store Unsigned Byte,101,B7,Load/Store,1,op40,raw,0,,rrr,ldstub,3,rs1,rs2,rd,,end
SWAP,op3,001111,i,000000,SWAP register with memory,102,B8,Load/Store,1,op40,raw,1,,rrr,swap,3,rs1,rs2,rd,,end
AND,op3,000001,i,000000,And,106,B11,Integer Arith,2,op40,raw,0,,rrr,and,3,rs1,rs2,rd,,end
ANDcc,op3,010001,i,000000,And and modify icc,106,B11,Integer Arith,2,op40,raw,0,,rrr,andcc,3,rs1,rs2,rd,,end
ANDN,op3,000101,i,000000,And Not,106,B11,Integer Arith,2,op40,raw,0,,rrr,andn,3,rs1,rs2,rd,,end
ANDNcc,op3,010101,i,000000,And Not and modify icc,106,B11,Integer Arith,2,op40,raw,0,,rrr,andncc,3,rs1,rs2,rd,,end
OR,op3,000010,i,000000,Inclusive Or,106,B11,Integer Arith,2,op40,raw,0,,rrr,or,3,rs1,rs2,rd,,end
ORcc,op3,010010,i,000000,Inclusive Or and modify icc,106,B11,Integer Arith,2,op40,raw,0,,rrr,orcc,3,rs1,rs2,rd,,end
ORN,op3,000110,i,000000,Inclusive Or Not,106,B11,Integer Arith,2,op40,raw,0,,rrr,orn,3,rs1,rs2,rd,,end
ORNcc,op3,010110,i,000000,Inclusive Or Not and modify icc,106,B11,Integer Arith,2,op40,raw,0,,rrr,orncc,3,rs1,rs2,rd,,end
XOR,op3,000011,i,000000,Exclusive Or,106,B11,Integer Arith,2,op40,raw,0,,rrr,xor,3,rs1,rs2,rd,,end
XORcc,op3,010011,i,000000,Exclusive Or and modify icc,106,B11,Integer Arith,2,op40,raw,0,,rrr,xorcc,3,rs1,rs2,rd,,end
XNOR,op3,000111,i,000000,Exclusive Nor,106,B11,Integer Arith,2,op40,raw,0,,rrr,xnor,3,rs1,rs2,rd,,end
XNORcc,op3,010111,i,000000,Exclusive Nor and modify icc,106,B11,Integer Arith,2,op40,raw,0,,rrr,xnorcc,3,rs1,rs2,rd,,end
SLL,op3,100101,i,000000,Shift Left Logical,107,B12,Integer Arith,2,op40,raw,0,,rrr,sll,3,rs1,rs2,rd,,end
SRL,op3,100110,i,000000,Shift Right Logical,107,B12,Integer Arith,2,op40,raw,0,,rrr,srl,3,rs1,rs2,rd,,end
SRA,op3,100111,i,000000,Shift Right Arithmetic,107,B12,Integer Arith,2,op40,raw,0,,rrr,sra,3,rs1,rs2,rd,,end
ADD,op3,000000,i,000000,Add,108,B13,Integer Arith,2,op40,raw,0,,rrr,add,3,rs1,rs2,rd,,end
ADDcc,op3,010000,i,000000,Add and modify icc,108,B13,Integer Arith,2,op40,raw,0,,rrr,addcc,3,rs1,rs2,rd,,end
ADDX,op3,001000,i,000000,Add with Carry,108,B13,Integer Arith,2,op40,raw,0,,rrr,addx,3,rs1,rs2,rd,,end
ADDXcc,op3,011000,i,000000,Add with Carry and modify icc,108,B13,Integer Arith,2,op40,raw,0,,rrr,addxcc,3,rs1,rs2,rd,,end
