"Opcode","Format type","Format Value","Other field","Value","Operation","Sparc V8 Manual main description page","Sparc V8 Manual main description Chapter reference","Insn Category","Insn Category Index","Format Index","Processing Status","Privilege","Notes","Register Type, if any","ASM Rator Syntax","Num Args","ASM Arg 1","ASM Arg 2","ASM Arg 3","ASM Arg 4","END"
"LDSB","op3",001001,"i",000001,"Load Signed Byte",90,"B1","Load/Store",1,"op35","raw",0,,"rnr","ldsb",3,"rs1","sign_ext (simm13)","rd",,"end"
"LDSH","op3",001010,"i",000001,"Load Signed Halfword",90,"B1","Load/Store",1,"op35","raw",0,,"rnr","ldsh",3,"rs1","sign_ext (simm13)","rd",,"end"
"LDUB","op3",000001,"i",000001,"Load Unsigned Byte",90,"B1","Load/Store",1,"op35","raw",0,,"rnr","ldub",3,"rs1","sign_ext (simm13)","rd",,"end"
"LDUH","op3",000010,"i",000001,"Load Unsigned Halfword",90,"B1","Load/Store",1,"op35","raw",0,,"rnr","lduh",3,"rs1","sign_ext (simm13)","rd",,"end"
"LD","op3",000000,"i",000001,"Load Word",90,"B1","Load/Store",1,"op35","raw",0,,"rnr","ld",3,"rs1","sign_ext (simm13)","rd",,"end"
"LDD","op3",000011,"i",000001,"Load Doubleword",90,"B1","Load/Store",1,"op35","raw",0,,"rnr","ldd",3,"rs1","sign_ext (simm13)","rd",,"end"
"STB","op3",000101,"i",000001,"Store Byte",95,"B4","Load/Store",1,"op35","raw",0,,"rrn","stb",3,"rd","rs1","sign_ext (simm13)",,"end"
"STH","op3",000110,"i",000001,"Store Halfword",95,"B4","Load/Store",1,"op35","raw",0,,"rrn","sth",3,"rd","rs1","sign_ext (simm13)",,"end"
"ST","op3",000100,"i",000001,"Store Word",95,"B4","Load/Store",1,"op35","raw",0,,"rrn","st",3,"rd","rs1","sign_ext (simm13)",,"end"
"STD","op3",000111,"i",000001,"Store Doubleword",95,"B4","Load/Store",1,"op35","raw",0,,"rrn","std",3,"rd","rs1","sign_ext (simm13)",,"end"
"LDSTUB","op3",001101,"i",000001,"Atomic Load-Store Unsigned Byte",101,"B7","Load/Store",1,"op35","raw",0,,"rnr","ldstub",3,"rs1","sign_ext (simm13)","rd",,"end"
